Pasture_Region,Month,Sector,ME_Pasture,DMD_pct_Pasture,N_pct_Pasture
Northland,9,NonDairy,11.4,0.771795918367347,0.0363
Northland,10,Dairy,12.3,0.8177959183673471,0.0362
Northland,10,NonDairy,11.3,0.7680408163265308,0.0316
Northland,11,Dairy,11.3,0.7727346938775511,0.0316
Northland,11,NonDairy,10.4,0.713591836734694,0.0271
Northland,12,Dairy,11.1,0.7567755102040817,0.0308
Northland,12,NonDairy,10.1,0.6938775510204083,0.0263
Otago,1,Dairy,10.9,0.7389387755102041,0.0322
Otago,1,NonDairy,9.9,0.6741632653061226,0.0277
Otago,2,Dairy,10.5,0.7117142857142859,0.030600000000000002
Otago,2,NonDairy,9.5,0.6422448979591837,0.026099999999999998
Otago,3,Dairy,10.2,0.6985714285714286,0.033
Otago,3,NonDairy,9.2,0.6281632653061225,0.0285
Otago,4,Dairy,10.8,0.7351836734693878,0.0361
Otago,4,NonDairy,9.8,0.6704081632653063,0.0315
Otago,5,Dairy,11,0.7502040816326532,0.0377
Otago,5,NonDairy,10,0.6873061224489797,0.0332
Otago,6,Dairy,11.8,0.7774285714285716,0.039900000000000005
Otago,6,NonDairy,10.8,0.7192244897959184,0.0354
Otago,7,Dairy,12,0.7886938775510205,0.04190000000000001
Otago,7,NonDairy,11.1,0.7323673469387756,0.0373
Otago,8,Dairy,12.4,0.8037142857142858,0.0429
Otago,8,NonDairy,11.4,0.7511428571428571,0.0384
Otago,9,Dairy,12.6,0.8159183673469388,0.0436
Otago,9,NonDairy,11.6,0.7652244897959184,0.0391
Otago,10,Dairy,12.5,0.8121632653061225,0.038900000000000004
Otago,10,NonDairy,11.5,0.7605306122448979,0.0344
Otago,11,Dairy,11.6,0.7661632653061226,0.034300000000000004
Otago,11,NonDairy,10.6,0.7060816326530612,0.0298
Otago,12,Dairy,11.3,0.749265306122449,0.0336
Otago,12,NonDairy,9.9,0.6863673469387757,0.028999999999999998
Southland,1,Dairy,10.9,0.7464489795918366,0.0342
Southland,1,NonDairy,10.3,0.6826122448979592,0.0297
Southland,2,Dairy,10.6,0.7192244897959184,0.0326
Southland,2,NonDairy,10,0.6516326530612245,0.0281
Southland,3,Dairy,10.3,0.7070204081632655,0.035
Southland,3,NonDairy,9.6,0.6366122448979593,0.0305
Southland,4,Dairy,10.9,0.7426938775510205,0.038
Southland,4,NonDairy,9.3,0.6779183673469388,0.0335
Southland,5,Dairy,11.1,0.7567755102040817,0.0397
Southland,5,NonDairy,9.9,0.6948163265306122,0.0351
Southland,6,Dairy,11.8,0.784,0.04190000000000001
Southland,6,NonDairy,10.1,0.7267346938775511,0.0374
Southland,7,Dairy,12.1,0.794326530612245,0.043899999999999995
Southland,7,NonDairy,10.9,0.7389387755102041,0.0393
Southland,8,Dairy,12.4,0.8093469387755102,0.0449
Southland,8,NonDairy,11.1,0.7577142857142858,0.0404
Southland,9,Dairy,12.6,0.8206122448979593,0.045599999999999995
Southland,9,NonDairy,11.4,0.771795918367347,0.041100000000000005
Southland,10,Dairy,12.6,0.8177959183673471,0.0409
Southland,10,NonDairy,11.7,0.7671020408163266,0.0364
Southland,11,Dairy,11.6,0.7727346938775511,0.0363
Southland,11,NonDairy,11.6,0.713591836734694,0.0318
Southland,12,Dairy,11.4,0.7558367346938775,0.0356
Southland,12,NonDairy,10.6,0.6938775510204083,0.031
Taranaki,1,Dairy,10.3,0.7107755102040817,0.029300000000000003
Taranaki,1,NonDairy,9.3,0.6422448979591837,0.024700000000000003
Taranaki,2,Dairy,9.9,0.6816734693877552,0.0277
Taranaki,2,NonDairy,8.9,0.6093877551020409,0.0231
Taranaki,3,Dairy,9.6,0.668530612244898,0.03
Taranaki,3,NonDairy,8.6,0.5943673469387755,0.0255
Taranaki,4,Dairy,10.2,0.7070204081632655,0.0331
Taranaki,4,NonDairy,9.2,0.6375510204081632,0.0286
Taranaki,5,Dairy,10.4,0.7229795918367348,0.0347
Taranaki,5,NonDairy,9.4,0.656326530612245,0.0302
Taranaki,6,Dairy,11.2,0.7530204081632654,0.037000000000000005
Taranaki,6,NonDairy,10.2,0.6901224489795919,0.032400000000000005
Taranaki,7,Dairy,11.5,0.7642857142857145,0.038900000000000004
Taranaki,7,NonDairy,10.5,0.703265306122449,0.0344
Taranaki,8,Dairy,11.8,0.7811836734693878,0.039900000000000005
Taranaki,8,NonDairy,10.8,0.7239183673469388,0.0354
Taranaki,9,Dairy,12,0.794326530612245,0.0406
Taranaki,9,NonDairy,11,0.7389387755102041,0.0361
Taranaki,10,Dairy,11.9,0.7905714285714286,0.0359
Taranaki,10,NonDairy,10.9,0.7342448979591838,0.031400000000000004
Taranaki,11,Dairy,11,0.7408163265306124,0.031400000000000004
Taranaki,11,NonDairy,10,0.6760408163265306,0.0269
Taranaki,12,Dairy,10.7,0.7220408163265306,0.030600000000000002
Taranaki,12,NonDairy,9.7,0.6544489795918367,0.026099999999999998
Tasman / Nelson / Marlborough,1,Dairy,11.2,0.784,0.0263
Tasman / Nelson / Marlborough,1,NonDairy,10.2,0.7267346938775511,0.0218
Tasman / Nelson / Marlborough,2,Dairy,10.8,0.759591836734694,0.024700000000000003
Tasman / Nelson / Marlborough,2,NonDairy,9.8,0.6985714285714286,0.0202
Tasman / Nelson / Marlborough,3,Dairy,10.6,0.7483265306122451,0.0271
Tasman / Nelson / Marlborough,3,NonDairy,9.6,0.6854285714285714,0.0225
Tasman / Nelson / Marlborough,4,Dairy,11.1,0.7811836734693878,0.0301
Tasman / Nelson / Marlborough,4,NonDairy,10.1,0.7229795918367348,0.0256
Tasman / Nelson / Marlborough,5,Dairy,11.3,0.7933877551020408,0.0317
Tasman / Nelson / Marlborough,5,NonDairy,10.3,0.7389387755102041,0.027200000000000002
Tasman / Nelson / Marlborough,6,Dairy,12.1,0.8168571428571428,0.034
Tasman / Nelson / Marlborough,6,NonDairy,11.1,0.7671020408163266,0.029500000000000002
Tasman / Nelson / Marlborough,7,Dairy,12.4,0.8262448979591837,0.0359
Tasman / Nelson / Marlborough,7,NonDairy,11.4,0.7783673469387756,0.031400000000000004
Tasman / Nelson / Marlborough,8,Dairy,12.7,0.838448979591837,0.037000000000000005
Tasman / Nelson / Marlborough,8,NonDairy,11.7,0.794326530612245,0.032400000000000005
Tasman / Nelson / Marlborough,9,Dairy,12.9,0.8487755102040817,0.0377
Tasman / Nelson / Marlborough,9,NonDairy,11.9,0.806530612244898,0.0331
Tasman / Nelson / Marlborough,10,Dairy,12.9,0.8459591836734696,0.033
Tasman / Nelson / Marlborough,10,NonDairy,11.9,0.8027755102040817,0.028399999999999998
Tasman / Nelson / Marlborough,11,Dairy,11.9,0.8074693877551021,0.028399999999999998
Tasman / Nelson / Marlborough,11,NonDairy,10.9,0.7548979591836736,0.0239
Tasman / Nelson / Marlborough,12,Dairy,11.6,0.7924489795918368,0.0276
Tasman / Nelson / Marlborough,12,NonDairy,10.7,0.737061224489796,0.0231
Waikato / Auckland,1,Dairy,10.2,0.6976326530612247,0.0286
Waikato / Auckland,1,NonDairy,9.2,0.6272244897959185,0.0241
Waikato / Auckland,2,Dairy,9.8,0.6675918367346939,0.027000000000000003
Waikato / Auckland,2,NonDairy,8.9,0.5934285714285715,0.0225
Waikato / Auckland,3,Dairy,9.6,0.6535102040816327,0.0294
Waikato / Auckland,3,NonDairy,8.6,0.5784081632653063,0.0248
Waikato / Auckland,4,Dairy,10.2,0.6938775510204083,0.032400000000000005
Waikato / Auckland,4,NonDairy,9.2,0.622530612244898,0.0279
Waikato / Auckland,5,Dairy,10.4,0.7107755102040817,0.034
Waikato / Auckland,5,NonDairy,9.4,0.6413061224489797,0.029500000000000002
Waikato / Auckland,6,Dairy,11.1,0.7408163265306124,0.0363
Waikato / Auckland,6,NonDairy,10.1,0.6760408163265306,0.0318
Waikato / Auckland,7,Dairy,11.4,0.7530204081632654,0.0382
Waikato / Auckland,7,NonDairy,10.4,0.6901224489795919,0.0337
Waikato / Auckland,8,Dairy,11.7,0.770857142857143,0.0393
Waikato / Auckland,8,NonDairy,10.7,0.7107755102040817,0.0347
Waikato / Auckland,9,Dairy,11.9,0.784,0.04
Waikato / Auckland,9,NonDairy,10.9,0.7267346938775511,0.0354
Waikato / Auckland,10,Dairy,11.9,0.7802448979591838,0.0353
Waikato / Auckland,10,NonDairy,10.9,0.7220408163265306,0.030699999999999998
Waikato / Auckland,11,Dairy,10.9,0.7286122448979592,0.030699999999999998
Waikato / Auckland,11,NonDairy,9.9,0.6619591836734694,0.0262
Waikato / Auckland,12,Dairy,10.7,0.7088979591836735,0.029900000000000003
Waikato / Auckland,12,NonDairy,9.7,0.6403673469387756,0.0254
Wellington,1,Dairy,10.6,0.7342448979591838,0.0285
Wellington,1,NonDairy,9.6,0.668530612244898,0.024
Wellington,2,Dairy,10.2,0.7070204081632655,0.0269
Wellington,2,NonDairy,9.2,0.6375510204081632,0.022400000000000003
Wellington,3,Dairy,9.9,0.6938775510204083,0.029300000000000003
Wellington,3,NonDairy,8.9,0.622530612244898,0.0248
Wellington,4,Dairy,10.5,0.7314285714285715,0.032400000000000005
Wellington,4,NonDairy,9.5,0.6647755102040817,0.0278
Wellington,5,Dairy,10.7,0.7464489795918366,0.034
Wellington,5,NonDairy,9.7,0.6826122448979592,0.029500000000000002
Wellington,6,Dairy,11.5,0.7736734693877552,0.0362
Wellington,6,NonDairy,10.5,0.7145306122448981,0.0317
Wellington,7,Dairy,11.8,0.7849387755102042,0.0382
Wellington,7,NonDairy,10.8,0.7276734693877552,0.0336
Wellington,8,Dairy,12.1,0.7999591836734694,0.0392
Wellington,8,NonDairy,11.1,0.7464489795918366,0.0347
Wellington,9,Dairy,12.3,0.8121632653061225,0.039900000000000005
Wellington,9,NonDairy,11.3,0.7614693877551022,0.0354
Wellington,10,Dairy,12.2,0.8084081632653063,0.0352
Wellington,10,NonDairy,11.2,0.7567755102040817,0.030699999999999998
Wellington,11,Dairy,11.3,0.7624081632653061,0.030699999999999998
Wellington,11,NonDairy,10.3,0.7013877551020408,0.026099999999999998
Wellington,12,Dairy,11,0.7455102040816327,0.029900000000000003
Wellington,12,NonDairy,10,0.680734693877551,0.0254
West Coast,1,Dairy,11.9,0.8271836734693879,0.0379
West Coast,1,NonDairy,10.9,0.7793061224489796,0.0334
West Coast,2,Dairy,11.5,0.8074693877551021,0.0363
West Coast,2,NonDairy,10.5,0.7558367346938775,0.0318
West Coast,3,Dairy,11.2,0.7980816326530613,0.038599999999999995
West Coast,3,NonDairy,10.2,0.7436326530612246,0.0341
West Coast,4,Dairy,11.8,0.8243673469387757,0.0417
West Coast,4,NonDairy,10.8,0.7764897959183673,0.037200000000000004
West Coast,5,Dairy,12,0.8346938775510205,0.0433
West Coast,5,NonDairy,11,0.7896326530612245,0.0388
West Coast,6,Dairy,12.8,0.8544081632653062,0.045599999999999995
West Coast,6,NonDairy,11.8,0.8131020408163266,0.041100000000000005
West Coast,7,Dairy,13,0.8609795918367348,0.0475
West Coast,7,NonDairy,12.1,0.8224897959183675,0.043
West Coast,8,Dairy,13.4,0.8713061224489796,0.048600000000000004
West Coast,8,NonDairy,12.4,0.8356326530612246,0.044000000000000004
West Coast,9,Dairy,13.6,0.8788163265306124,0.0493
West Coast,9,NonDairy,12.6,0.8450204081632654,0.0447
West Coast,10,Dairy,13.5,0.8769387755102042,0.044500000000000005
West Coast,10,NonDairy,12.5,0.8422040816326531,0.04
West Coast,11,Dairy,12.5,0.8459591836734696,0.04
West Coast,11,NonDairy,11.6,0.8037142857142858,0.0355
West Coast,12,Dairy,12.3,0.8346938775510205,0.0392
West Coast,12,NonDairy,11.3,0.7886938775510205,0.0347
